API 10/UWI,District,Filed Date,Approved Date,Expired Date,State/Province,County/Parish,Operator Alias (Legacy),Lease Name,Well Number,Formation,Permit Depth,True Vertical Depth,Permit Type,Well Type,Drill Type,Well Status,Permit Status,Field,Operator (Reported),Amended Date,Contact Name,Contact Phone,Operator Address,Operator City,Operator State,Operator Zip,Operator City 30mi,Section,Operator City 50mi,Township,Range,Block,Survey,True Vertical Depth UOM,Abstract,WGID,H2S Area,Surface Hole Latitude (WGS84),Surface Hole Longitude (WGS84),OFS Region,Bottom Hole Latitude (WGS84),Bottom Hole Longitude (WGS84),Lease Number,Permit Depth UOM,Permit Number,DI Basin,DI Play,DI Subplay,Operator Company Name,Operator Ticker
4210336933,8,2021-12-02,2021-12-30,2023-12-30,TX,CRANE (TX),BLACKBEARD OPERATING,WADDELL TR B,3199,"JUDKINS,MCKNIGHT",9000,9000,NewDrill,OIL & GAS,V,PERMITTED,Active,SAND HILLS,"BLACKBEARD OPERATING, LLC",,REGULATORY BLACKBEARD,4322420050,"1751 RIVER RUN
SUITE 405",FORT WORTH,TX,76107,,28,Dallas,,,B26,"PSL / WADDELL, W N & CO",,1271,19355469,true,31.5041309,-102.5897101,PERMIAN BASIN,31.5041309,-102.5897101,,ft,875006,CENTRAL BASIN PLATFORM,CENTRAL BASIN PLATFORM,,"BLACKBEARD OPERATING, LLC",
4210336928,8,2021-11-30,2021-12-29,2023-12-29,TX,CRANE (TX),BLACKBEARD OPERATING,WADDELL TR A,3575,"CLEAR FORK,SAN ANGELO, UPPER,TUBB,WOLFCAMP",9000,9000,NewDrill,OIL & GAS,V,PERMITTED,Active,SAND HILLS,"BLACKBEARD OPERATING, LLC",,REGULATORY BLACKBEARD,4322420050,"1751 RIVER RUN
SUITE 405",FORT WORTH,TX,76107,,18,Dallas,,,B26,"PSL / WADDELL, W N & CO",,1265,19355468,true,31.5359158,-102.6340665,PERMIAN BASIN,31.5359158,-102.6340665,,ft,874866,CENTRAL BASIN PLATFORM,CENTRAL BASIN PLATFORM,,"BLACKBEARD OPERATING, LLC",
4210336923,8,2021-11-29,2021-12-29,2023-12-29,TX,CRANE (TX),BLACKBEARD OPERATING,WADDELL TR A,4300H,"SAN ANGELO, UPPER",9000,,NewDrill,OIL & GAS,H,PERMITTED,Active,SAND HILLS,"BLACKBEARD OPERATING, LLC",,REGULATORY BLACKBEARD,4322420050,"1751 RIVER RUN
SUITE 405",FORT WORTH,TX,76107,,20,Dallas,,,B21,"PSL / WADDELL, W N & CO",,1256,19355467,true,31.5076082,-102.6512111,PERMIAN BASIN,31.4890897,-102.6469456,,ft,874816,CENTRAL BASIN PLATFORM,CENTRAL BASIN PLATFORM,,"BLACKBEARD OPERATING, LLC",
4210336917,8,2021-11-23,2021-12-29,2023-12-29,TX,CRANE (TX),BLACKBEARD OPERATING,WADDELL TR 1,3907,,9000,9000,NewDrill,OIL & GAS,V,PERMITTED,Active,DUNE,"BLACKBEARD OPERATING, LLC",,VALERIE MOSS,4322420050,"1751 RIVER RUN
SUITE 405",FORT WORTH,TX,76107,,2,Dallas,,,B24,"PSL / WADDELL, W N",,1165,19355464,true,31.5885325,-102.4362830,PERMIAN BASIN,31.5885325,-102.4362830,,ft,874766,CENTRAL BASIN PLATFORM,CENTRAL BASIN PLATFORM,,"BLACKBEARD OPERATING, LLC",
4210336926,8,2021-11-30,2021-12-29,2023-12-29,TX,CRANE (TX),BLACKBEARD OPERATING,WADDELL TR A,3574,"CLEAR FORK,SAN ANGELO, UPPER,TUBB,WOLFCAMP",9000,9000,NewDrill,OIL & GAS,V,PERMITTED,Active,SAND HILLS,"BLACKBEARD OPERATING, LLC",,REGULATORY BLACKBEARD,4322420050,"1751 RIVER RUN
SUITE 405",FORT WORTH,TX,76107,,18,Dallas,,,B26,"PSL / WADDELL, W N & CO",,1265,19355470,true,31.5351470,-102.6376551,PERMIAN BASIN,31.5351470,-102.6376551,,ft,874840,CENTRAL BASIN PLATFORM,CENTRAL BASIN PLATFORM,,"BLACKBEARD OPERATING, LLC",
4210336927,8,2021-11-30,2021-12-29,2023-12-29,TX,CRANE (TX),BLACKBEARD OPERATING,WADDELL TR A,3301,"CLEAR FORK,SAN ANGELO, UPPER,TUBB,WOLFCAMP",9000,9000,NewDrill,OIL & GAS,V,PERMITTED,Active,SAND HILLS,"BLACKBEARD OPERATING, LLC",,REGULATORY BLACKBEARD,4322420050,"1751 RIVER RUN
SUITE 405",FORT WORTH,TX,76107,,17,Dallas,,,B26,"PSL / WADDELL, W N & CO",,1264,19355478,true,31.5309522,-102.6247561,PERMIAN BASIN,31.5309522,-102.6247561,,ft,874842,CENTRAL BASIN PLATFORM,CENTRAL BASIN PLATFORM,,"BLACKBEARD OPERATING, LLC",
4210336922,8,2021-11-29,2021-12-29,2023-12-29,TX,CRANE (TX),BLACKBEARD OPERATING,WADDELL TR A,3586,"CLEAR FORK,SAN ANGELO, UPPER,TUBB,WOLFCAMP",9000,9000,NewDrill,OIL & GAS,V,PERMITTED,Active,SAND HILLS,"BLACKBEARD OPERATING, LLC",,REGULATORY BLACKBEARD,4322420050,"1751 RIVER RUN
SUITE 405",FORT WORTH,TX,76107,,18,Dallas,,,B26,"PSL / WADDELL, W N & CO",,1265,19355475,true,31.5238496,-102.6291639,PERMIAN BASIN,31.5238496,-102.6291639,,ft,874812,CENTRAL BASIN PLATFORM,CENTRAL BASIN PLATFORM,,"BLACKBEARD OPERATING, LLC",
4210336918,8,2021-11-23,2021-12-29,2023-12-29,TX,CRANE (TX),BLACKBEARD OPERATING,WADDELL TR 1,3902,,9000,9000,NewDrill,OIL & GAS,V,PERMITTED,Active,DUNE,"BLACKBEARD OPERATING, LLC",,VALERIE MOSS,4322420050,"1751 RIVER RUN
SUITE 405",FORT WORTH,TX,76107,,4,Dallas,,,B24,"PSL / WADDELL, W N",,1167,19355474,true,31.5767901,-102.4274492,PERMIAN BASIN,31.5767901,-102.4274492,,ft,874769,CENTRAL BASIN PLATFORM,CENTRAL BASIN PLATFORM,,"BLACKBEARD OPERATING, LLC",
4210336948,8,2021-12-22,2021-12-28,2023-12-28,TX,CRANE (TX),BLACKBEARD OPERATING,STEDE BONNET E,7,,9000,9000,NewDrill,OIL,V,UNKNOWN,Active,ARMER,"BLACKBEARD OPERATING, LLC",,ANDREW STAMPS,7135025033,"1751 RIVER RUN
SUITE 405",FORT WORTH,TX,76107,,7,Dallas,,,B26,"PSL/MC KNIGHT, M B",,1123,,true,31.5363296,-102.6423501,PERMIAN BASIN,31.5363296,-102.6423501,,ft,875556,CENTRAL BASIN PLATFORM,CENTRAL BASIN PLATFORM,,"BLACKBEARD OPERATING, LLC",
4210336945,8,2021-12-17,2021-12-21,2023-12-21,TX,CRANE (TX),BLACKBEARD OPERATING,WADDELL TR A,3018,"CLEAR FORK,SAN ANGELO, UPPER,TUBB,WOLFCAMP",9000,9000,NewDrill,OIL & GAS,V,UNKNOWN,Active,SAND HILLS,"BLACKBEARD OPERATING, LLC",,SHANNON BURK,4322420050,"1751 RIVER RUN
SUITE 405",FORT WORTH,TX,76107,,14,Dallas,,,B21,"PSL/ WADDELL, W N & CO",,1247,,true,31.5163567,-102.7015416,PERMIAN BASIN,31.5163567,-102.7015416,,ft,875417,CENTRAL BASIN PLATFORM,CENTRAL BASIN PLATFORM,,"BLACKBEARD OPERATING, LLC",
